home, homescore, awayscore, away, date, group
Real Madrid, 1, 0, Mallorca, "Sunday, January 23, 2011", Santiago BernabÃ©u (73,000)
Villarreal, 2, 1, Real Sociedad, "Sunday, January 23, 2011", El Madrigal (19,000)
Sevilla FC, 4, 1, Levante, "Saturday, January 22, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (36,000)
Barcelona, 3, 0, Racing Santander, "Saturday, January 22, 2011", Camp Nou (75,000)
Valencia, 4, 3, Malaga, "Saturday, January 22, 2011", Mestalla (42,000)
Atletico Madrid, 3, 0, Mallorca, "Monday, January 17, 2011", Vicente CalderÃ³n (30,000)
Valencia, 2, 0, Deportivo La CoruÃ±a, "Sunday, January 16, 2011", Mestalla (36,000)
Almeria, 1, 1, Real Madrid, "Sunday, January 16, 2011", Juegos MediterrÃ¡neos (20,000)
Barcelona, 4, 1, Malaga, "Sunday, January 16, 2011", Camp Nou (80,000)
Getafe, 0, 4, Real Sociedad, "Saturday, January 15, 2011", Coliseum Alfonso PÃ©rez (10,000)
Real Zaragoza, 1, 0, Levante, "Saturday, January 15, 2011", La Romareda (18,000)
Sporting Gijon, 2, 0, Hercules, "Saturday, January 15, 2011", El MolinÃ³n (17,000)
Villarreal, 4, 2, Osasuna, "Saturday, January 15, 2011", El Madrigal (19,000)
Athletic Bilbao, 2, 1, Racing Santander, "Saturday, January 15, 2011", San MamÃ©s (35,000)
Sevilla FC, 1, 2, Espanyol, "Saturday, January 15, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Hercules, 4, 1, Atletico Madrid, "Monday, January 10, 2011", JosÃ© Rico PÃ©rez (25,000)
Espanyol, 4, 0, Real Zaragoza, "Sunday, January 9, 2011", CornellÃ¡ - El Prat (25,000)
Mallorca, 4, 1, Almeria, "Sunday, January 9, 2011", Iberostar Estadi (12,000)
Osasuna, 0, 0, Getafe, "Sunday, January 9, 2011", Reyno de Navarra (17,000)
Racing Santander, 1, 1, Sporting Gijon, "Sunday, January 9, 2011", El Sardinero (14,000)
Real Madrid, 4, 2, Villarreal, "Sunday, January 9, 2011", Santiago BernabÃ©u (72,000)
Levante, 0, 1, Valencia, "Sunday, January 9, 2011", Ciutat de Valencia (23,000)
Malaga, 1, 1, Athletic Bilbao, "Saturday, January 8, 2011", La Rosaleda (25,000)
Real Sociedad, 2, 3, Sevilla FC, "Saturday, January 8, 2011", Anoeta (28,000)
Deportivo La CoruÃ±a, 0, 4, Barcelona, "Saturday, January 8, 2011", Municipal de Riazor (32,000)
Atletico Madrid, 0, 0, Racing Santander, "Monday, January 3, 2011", Vicente CalderÃ³n (35,000)
Mallorca, 3, 0, Hercules, "Monday, January 3, 2011", Iberostar Estadi (18,000)
Real Zaragoza, 2, 1, Real Sociedad, "Monday, January 3, 2011", La Romareda (20,000)
Villarreal, 2, 0, Almeria, "Monday, January 3, 2011", El Madrigal (19,000)
