home,homescore,awayscore,away,date,location
NAC Breda,1,5,Heerenveen,"Saturday, December 15, 2007","Fujifilm  (15,500)"
Twente Enschede,1,1,VVV Venlo,"Saturday, December 15, 2007","Arke Stadion (13,260)"
De Graafschap,1,1,NEC Nijmegen,"Saturday, December 15, 2007","De Vijverberg (12,300)"
Roda JC Kerkrade,2,3,Sparta Rotterdam,"Friday, December 14, 2007","Parkstad Limburg Stadion (14,425)"
VVV Venlo,0,0,Feyenoord Rotterdam,"Sunday, December 9, 2007","De Koel (6,000)"
AZ Alkmaar,2,1,FC Utrecht,"Sunday, December 9, 2007","DSB Stadion (16,441)"
Heerenveen,4,2,FC Groningen,"Sunday, December 9, 2007","Abe Lenstra Stadion (25,600)"
Sparta Rotterdam,1,0,NEC Nijmegen,"Sunday, December 9, 2007","ENECO (9,068)"
Willem II Tilburg,2,3,Ajax Amsterdam,"Saturday, December 8, 2007","Willem II  (14,000)"
Excelsior,0,3,NAC Breda,"Saturday, December 8, 2007","Stad Rotterdam Verzekeringen Stadion (3,250)"
SC Heracles Almelo,2,0,De Graafschap,"Saturday, December 8, 2007","Polman Stadion (8,500)"
Vitesse Arnhem,2,2,Twente Enschede,"Saturday, December 8, 2007","Gelredome (19,000)"
PSV Eindhoven,2,4,Roda JC Kerkrade,"Friday, December 7, 2007","Philipsstadion (33,200)"
Ajax Amsterdam,1,3,NAC Breda,"Sunday, December 2, 2007","Amsterdam ArenA (47,588)"
Feyenoord Rotterdam,6,0,SC Heracles Almelo,"Sunday, December 2, 2007","De Kuip Stadion  (40,000)"
NEC Nijmegen,0,1,Heerenveen,"Sunday, December 2, 2007","De Goffert (11,750)"
Twente Enschede,2,1,AZ Alkmaar,"Sunday, December 2, 2007","Arke Stadion (13,250)"
FC Groningen,1,0,VVV Venlo,"Saturday, December 1, 2007","Euroborg (19,683)"
Roda JC Kerkrade,3,2,Vitesse Arnhem,"Saturday, December 1, 2007","Parkstad Limburg Stadion (30,800)"
Willem II Tilburg,6,0,Excelsior,"Saturday, December 1, 2007","Willem II  (11,700)"
De Graafschap,0,1,PSV Eindhoven,"Saturday, December 1, 2007","De Vijverberg (12,000)"
FC Utrecht,7,1,Sparta Rotterdam,"Friday, November 30, 2007","Nieuwe Galgenwaard (19,300)"
Ajax Amsterdam,4,1,Vitesse Arnhem,"Sunday, November 25, 2007","Amsterdam ArenA (49,566)"
FC Groningen,3,2,Feyenoord Rotterdam,"Sunday, November 25, 2007","Euroborg (19,721)"
FC Utrecht,3,2,NEC Nijmegen,"Sunday, November 25, 2007","Nieuwe Galgenwaard (18,500)"
Sparta Rotterdam,1,1,Twente Enschede,"Sunday, November 25, 2007","ENECO (10,025)"
Heerenveen,2,3,De Graafschap,"Saturday, November 24, 2007","Abe Lenstra Stadion (25,000)"
AZ Alkmaar,2,0,Willem II Tilburg,"Saturday, November 24, 2007","DSB Stadion (16,274)"
Excelsior,1,4,PSV Eindhoven,"Saturday, November 24, 2007","Stad Rotterdam Verzekeringen Stadion (3,650)"
SC Heracles Almelo,0,0,VVV Venlo,"Saturday, November 24, 2007","Polman Stadion (8,420)"
NAC Breda,0,0,Roda JC Kerkrade,"Friday, November 23, 2007","Fujifilm  (14,940)"
Feyenoord Rotterdam,2,2,Ajax Amsterdam,"Sunday, November 11, 2007","De Kuip Stadion  (43,500)"
PSV Eindhoven,1,1,AZ Alkmaar,"Sunday, November 11, 2007","Philipsstadion (33,000)"
Roda JC Kerkrade,5,1,FC Groningen,"Sunday, November 11, 2007","Parkstad Limburg Stadion (12,600)"
Vitesse Arnhem,0,1,Heerenveen,"Sunday, November 11, 2007","Gelredome (19,200)"
VVV Venlo,2,0,Sparta Rotterdam,"Saturday, November 10, 2007","De Koel (5,842)"
Willem II Tilburg,1,4,FC Utrecht,"Saturday, November 10, 2007","Willem II  (11,700)"
De Graafschap,1,1,Excelsior,"Saturday, November 10, 2007","De Vijverberg "
Twente Enschede,1,1,NAC Breda,"Saturday, November 10, 2007","Arke Stadion (13,260)"
NEC Nijmegen,3,0,SC Heracles Almelo,"Friday, November 9, 2007","De Goffert (12,000)"
Ajax Amsterdam,4,2,Roda JC Kerkrade,"Sunday, November 4, 2007","Amsterdam ArenA (48,621)"
FC Groningen,0,0,Vitesse Arnhem,"Sunday, November 4, 2007","Euroborg (19,175)"
FC Utrecht,0,1,NAC Breda,"Sunday, November 4, 2007","Nieuwe Galgenwaard (19,500)"
Feyenoord Rotterdam,2,0,De Graafschap,"Sunday, November 4, 2007","De Kuip Stadion  (45,000)"
SC Heracles Almelo,0,3,Twente Enschede,"Sunday, November 4, 2007","Polman Stadion (8,250)"
Heerenveen,2,1,PSV Eindhoven,"Saturday, November 3, 2007","Abe Lenstra Stadion (25,500)"
AZ Alkmaar,4,0,NEC Nijmegen,"Saturday, November 3, 2007","DSB Stadion (16,333)"
Excelsior,4,3,Sparta Rotterdam,"Saturday, November 3, 2007","Stad Rotterdam Verzekeringen Stadion "
Willem II Tilburg,1,2,VVV Venlo,"Friday, November 2, 2007","Willem II  (11,500)"
FC Utrecht,0,1,Ajax Amsterdam,"Sunday, October 28, 2007","Nieuwe Galgenwaard (23,500)"
NAC Breda,2,3,AZ Alkmaar,"Sunday, October 28, 2007","Fujifilm  (14,000)"
NEC Nijmegen,5,1,FC Groningen,"Sunday, October 28, 2007","De Goffert (12,000)"
Sparta Rotterdam,1,4,PSV Eindhoven,"Sunday, October 28, 2007","ENECO (10,450)"
Roda JC Kerkrade,1,0,De Graafschap,"Saturday, October 27, 2007","Parkstad Limburg Stadion (12,000)"
VVV Venlo,0,4,Heerenveen,"Saturday, October 27, 2007","De Koel (5,930)"
Excelsior,1,1,SC Heracles Almelo,"Saturday, October 27, 2007","Stad Rotterdam Verzekeringen Stadion (2,632)"
Twente Enschede,2,0,Feyenoord Rotterdam,"Saturday, October 27, 2007","Arke Stadion (13,250)"
Vitesse Arnhem,1,0,Willem II Tilburg,"Friday, October 26, 2007","Gelredome (19,600)"
AZ Alkmaar,0,1,Heerenveen,"Sunday, October 21, 2007","DSB Stadion (16,624)"
FC Groningen,1,0,Twente Enschede,"Sunday, October 21, 2007","Euroborg (18,971)"
Roda JC Kerkrade,1,1,FC Utrecht,"Sunday, October 21, 2007","Parkstad Limburg Stadion (14,000)"
Willem II Tilburg,0,0,NAC Breda,"Sunday, October 21, 2007","Willem II  (13,500)"
