home, homescore, awayscore, away, date, stadium
Borussia Monchengladbach, 2, 0, Bayern Munich, "Saturday, October 30, 2004"," Stadium Bokelberg (53,000)"
Hannover 96, 3, 0, VfL Bochum, "Saturday, October 30, 2004"," Niedersachsenstadion (26,000)"
SC Freiburg, 1, 3, Hertha Berlin, "Saturday, October 30, 2004"," Dreisamstadion  (23,000)"
Schalke 04, 3, 2, VfB Stuttgart, "Saturday, October 30, 2004"," Arena Auf Schalke (61,524)"
VfL Wolfsburg, 4, 3, Mainz, "Saturday, October 30, 2004"," Volkswagen Arena (24,951)"
Werder Bremen, 1, 1, Hamburg SV, "Saturday, October 30, 2004"," Weserstadion (42,100)"
Bayer Leverkusen, 3, 2, Arminia Bielefeld, "Wednesday, October 27, 2004"," BayArena (22,500)"
Hamburg SV, 4, 0, SC Freiburg, "Wednesday, October 27, 2004"," Volksparkstadion (37,967)"
Mainz, 3, 1, Hansa Rostock, "Wednesday, October 27, 2004"," Stadion am Bruchweg (20,300)"
Nurnberg, 0, 2, Schalke 04, "Wednesday, October 27, 2004"," Frankenstadion (32,115)"
VfB Stuttgart, 1, 2, Werder Bremen, "Wednesday, October 27, 2004"," Gottlieb-Daimler Stadion (35,000)"
Bayern Munich, 2, 0, VfL Wolfsburg, "Tuesday, October 26, 2004"," Olympiastadion (37,000)"
Hannover 96, 3, 1, Kaiserslautern, "Tuesday, October 26, 2004"," Niedersachsenstadion (24,536)"
Hertha Berlin, 0, 1, Borussia Dortmund, "Tuesday, October 26, 2004"," Olympia Stadium (48,428)"
VfL Bochum, 3, 0, Borussia Monchengladbach, "Tuesday, October 26, 2004"," Ruhr Stadium (30,251)"
SC Freiburg, 2, 0, VfB Stuttgart, "Sunday, October 24, 2004"," Dreisamstadion  (25,000)"
Schalke 04, 2, 1, Mainz, "Sunday, October 24, 2004"," Arena Auf Schalke (61,000)"
Arminia Bielefeld, 1, 0, Hertha Berlin, "Saturday, October 23, 2004"," Almstadion (21,100)"
Borussia Dortmund, 0, 2, Hamburg SV, "Saturday, October 23, 2004"," Westfalenstadion (78,000)"
Borussia Monchengladbach, 0, 2, Hannover 96, "Saturday, October 23, 2004"," Stadium Bokelberg (43,506)"
Hansa Rostock, 0, 2, Bayern Munich, "Saturday, October 23, 2004"," Ostseestadion (30,000)"
Kaiserslautern, 0, 0, Bayer Leverkusen, "Saturday, October 23, 2004"," Fritz-Walter Stadion (34,843)"
VfL Wolfsburg, 3, 0, VfL Bochum, "Saturday, October 23, 2004"," Volkswagen Arena (20,187)"
Werder Bremen, 4, 1, Nurnberg, "Saturday, October 23, 2004"," Weserstadion (38,800)"
Borussia Monchengladbach, 2, 0, Kaiserslautern, "Sunday, October 17, 2004"," Stadium Bokelberg (50,000)"
Hannover 96, 3, 0, VfL Wolfsburg, "Sunday, October 17, 2004"," Niedersachsenstadion (34,110)"
Bayern Munich, 0, 1, Schalke 04, "Saturday, October 16, 2004"," Olympiastadion (63,000)"
Hamburg SV, 0, 2, Arminia Bielefeld, "Saturday, October 16, 2004"," Volksparkstadion (44,903)"
Hertha Berlin, 3, 1, Bayer Leverkusen, "Saturday, October 16, 2004"," Olympia Stadium (47,352)"
Mainz, 2, 1, Werder Bremen, "Saturday, October 16, 2004"," Stadion am Bruchweg (21,000)"
Nurnberg, 3, 0, SC Freiburg, "Saturday, October 16, 2004"," Frankenstadion (21,600)"
VfB Stuttgart, 2, 0, Borussia Dortmund, "Saturday, October 16, 2004"," Gottlieb-Daimler Stadion (48,000)"
VfL Bochum, 0, 1, Hansa Rostock, "Saturday, October 16, 2004"," Ruhr Stadium (21,000)"
Arminia Bielefeld, 0, 2, VfB Stuttgart, "Sunday, October 3, 2004"," Almstadion (22,800)"
Schalke 04, 3, 2, VfL Bochum, "Sunday, October 3, 2004"," Arena Auf Schalke (61,524)"
Bayer Leverkusen, 3, 0, Hamburg SV, "Saturday, October 2, 2004"," BayArena (22,000)"
