home, homescore, awayscore, away, date, group
Atletico Madrid, 1, 2, Espanyol, "Sunday, December 23, 2007", "Vicente Calderón "
Levante, 0, 1, Deportivo La Coruña, "Sunday, December 23, 2007", "Ciutat de València "
Osasuna, 3, 1, Mallorca, "Sunday, December 23, 2007", "El Sadar "
Real Valladolid, 0, 0, Real Betis, "Sunday, December 23, 2007", "José Zorrilla "
Villarreal, 1, 1, Recreativo Huelva, "Sunday, December 23, 2007", "El Madrigal "
Barcelona, 0, 1, Real Madrid, "Sunday, December 23, 2007", "Camp Nou "
Athletic Bilbao, 1, 1, Murcia, "Sunday, December 23, 2007", "Antiguo San Mamés "
Almeria, 0, 2, Getafe, "Saturday, December 22, 2007", "Juegos Mediterráneos "
Real Zaragoza, 2, 2, Valencia, "Saturday, December 22, 2007", "La Romareda "
Sevilla FC, 4, 1, Racing Santander, "Saturday, December 22, 2007", "Ramón Sánchez Pizjuán "
Deportivo La Coruña, 1, 1, Real Zaragoza, "Sunday, December 16, 2007", "Municipal de Riazor "
Getafe, 1, 3, Villarreal, "Sunday, December 16, 2007", "Coliseum Alfonso Pérez "
Mallorca, 0, 0, Athletic Bilbao, "Sunday, December 16, 2007", "Iberostar Estadi "
Murcia, 2, 1, Racing Santander, "Sunday, December 16, 2007", "Nueva Condomina "
Real Betis, 3, 1, Almeria, "Sunday, December 16, 2007", "Benito Villamarín "
Real Valladolid, 0, 0, Sevilla FC, "Sunday, December 16, 2007", "José Zorrilla "
Recreativo Huelva, 0, 0, Atletico Madrid, "Sunday, December 16, 2007", "Nuevo Colombino "
Real Madrid, 2, 0, Osasuna, "Sunday, December 16, 2007", "Santiago Bernabéu "
Espanyol, 1, 0, Levante, "Saturday, December 15, 2007", "Estadio Olimpico de Montjuic "
Valencia, 0, 3, Barcelona, "Saturday, December 15, 2007", "Mestalla "
Almeria, 1, 0, Real Valladolid, "Sunday, December 9, 2007", "Juegos Mediterráneos "
Levante, 0, 2, Recreativo Huelva, "Sunday, December 9, 2007", "Ciutat de València "
Racing Santander, 3, 1, Mallorca, "Sunday, December 9, 2007", "El Sardinero "
Real Zaragoza, 3, 3, Espanyol, "Sunday, December 9, 2007", "La Romareda "
Sevilla FC, 3, 1, Murcia, "Sunday, December 9, 2007", "Ramón Sánchez Pizjuán "
Villarreal, 0, 1, Real Betis, "Sunday, December 9, 2007", "El Madrigal "
Atletico Madrid, 1, 0, Getafe, "Sunday, December 9, 2007", "Vicente Calderón "
Barcelona, 2, 1, Deportivo La Coruña, "Sunday, December 9, 2007", "Camp Nou "
Osasuna, 0, 0, Valencia, "Saturday, December 8, 2007", "El Sadar "
Athletic Bilbao, 0, 1, Real Madrid, "Saturday, December 8, 2007", "Antiguo San Mamés "
Osasuna, 1, 1, Sevilla FC, "Wednesday, December 5, 2007", "El Sadar "
Deportivo La Coruña, 1, 2, Osasuna, "Sunday, December 2, 2007", "Municipal de Riazor "
Getafe, 2, 1, Levante, "Sunday, December 2, 2007", "Coliseum Alfonso Pérez "
Mallorca, 1, 1, Murcia, "Sunday, December 2, 2007", "Iberostar Estadi "
Real Valladolid, 2, 0, Villarreal, "Sunday, December 2, 2007", "José Zorrilla "
Recreativo Huelva, 2, 1, Real Zaragoza, "Sunday, December 2, 2007", "Nuevo Colombino "
Real Betis, 0, 2, Atletico Madrid, "Sunday, December 2, 2007", "Benito Villamarín "
Valencia, 0, 3, Athletic Bilbao, "Sunday, December 2, 2007", "Mestalla "
Almeria, 1, 0, Sevilla FC, "Saturday, December 1, 2007", "Juegos Mediterráneos "
Real Madrid, 3, 1, Racing Santander, "Saturday, December 1, 2007", "Santiago Bernabéu "
Espanyol, 1, 1, Barcelona, "Saturday, December 1, 2007", "Estadio Olimpico de Montjuic "
Athletic Bilbao, 2, 2, Deportivo La Coruña, "Sunday, November 25, 2007", "Antiguo San Mamés "
Atletico Madrid, 4, 3, Real Valladolid, "Sunday, November 25, 2007", "Vicente Calderón "
Levante, 4, 3, Real Betis, "Sunday, November 25, 2007", "Ciutat de València "
Osasuna, 1, 2, Espanyol, "Sunday, November 25, 2007", "El Sadar "
Villarreal, 1, 1, Almeria, "Sunday, November 25, 2007", "El Madrigal "
Racing Santander, 1, 0, Valencia, "Sunday, November 25, 2007", "El Sardinero "
Real Zaragoza, 1, 1, Getafe, "Sunday, November 25, 2007", "La Romareda "
Barcelona, 3, 0, Recreativo Huelva, "Saturday, November 24, 2007", "Camp Nou "
Sevilla FC, 1, 2, Mallorca, "Saturday, November 24, 2007", "Ramón Sánchez Pizjuán "
Murcia, 1, 1, Real Madrid, "Saturday, November 24, 2007", "Nueva Condomina "
Almeria, 0, 0, Atletico Madrid, "Sunday, November 11, 2007", "Juegos Mediterráneos "
Deportivo La Coruña, 0, 1, Racing Santander, "Sunday, November 11, 2007", "Municipal de Riazor "
Espanyol, 2, 1, Athletic Bilbao, "Sunday, November 11, 2007", "Estadio Olimpico de Montjuic "
Real Betis, 2, 1, Real Zaragoza, "Sunday, November 11, 2007", "Benito Villamarín "
Real Valladolid, 1, 0, Levante, "Sunday, November 11, 2007", "José Zorrilla "
Recreativo Huelva, 1, 0, Osasuna, "Sunday, November 11, 2007", "Nuevo Colombino "
Real Madrid, 4, 3, Mallorca, "Sunday, November 11, 2007", "Santiago Bernabéu "
Villarreal, 3, 2, Sevilla FC, "Sunday, November 11, 2007", "El Madrigal "
Getafe, 2, 0, Barcelona, "Saturday, November 10, 2007", "Coliseum Alfonso Pérez "
Valencia, 3, 0, Murcia, "Saturday, November 10, 2007", "Mestalla "
Atletico Madrid, 3, 4, Villarreal, "Sunday, November 4, 2007", "Vicente Calderón "
Levante, 3, 0, Almeria, "Sunday, November 4, 2007", "Ciutat de València "
Murcia, 0, 2, Deportivo La Coruña, "Sunday, November 4, 2007", "Nueva Condomina "
Osasuna, 0, 2, Getafe, "Sunday, November 4, 2007", "El Sadar "
Racing Santander, 1, 1, Espanyol, "Sunday, November 4, 2007", "El Sardinero "
Real Zaragoza, 2, 3, Real Valladolid, "Sunday, November 4, 2007", "La Romareda "
Barcelona, 3, 0, Real Betis, "Sunday, November 4, 2007", "Camp Nou "
Athletic Bilbao, 2, 0, Recreativo Huelva, "Sunday, November 4, 2007", "Antiguo San Mamés "
Mallorca, 0, 2, Valencia, "Saturday, November 3, 2007", "Iberostar Estadi "
Sevilla FC, 2, 0, Real Madrid, "Saturday, November 3, 2007", "Ramón Sánchez Pizjuán "
Espanyol, 0, 0, Murcia, "Thursday, November 1, 2007", "Estadio Olimpico de Montjuic "
Real Valladolid, 1, 1, Barcelona, "Thursday, November 1, 2007", "José Zorrilla "
