home, homescore, awayscore, away, date, group
Werder Bremen, 1, 1, Borussia Dortmund, "Sunday, November 8, 2009", Weserstadion (34,906)
Bayern Munich, 1, 1, Schalke 04, "Saturday, November 7, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 0, 0, VfB Stuttgart, "Saturday, November 7, 2009", Borussia-Park (47,053)
Mainz, 1, 0, Nurnberg, "Saturday, November 7, 2009", Stadion am Bruchweg (20,000)
TSG Hoffenheim, 1, 2, VfL Wolfsburg, "Saturday, November 7, 2009", Rhein-Neckar-Arena (29,400)
VfL Bochum, 1, 2, SC Freiburg, "Saturday, November 7, 2009", rewirpowerSTADION (20,403)
Bayer Leverkusen, 4, 0, Eintracht Frankfurt, "Friday, November 6, 2009", BayArena (30,000)
SC Freiburg, 0, 1, TSG Hoffenheim, "Sunday, November 1, 2009", badenova-Stadion (24,000)
Eintracht Frankfurt, 2, 1, VfL Bochum, "Sunday, November 1, 2009", Commerzbank Arena (37,500)
FC Cologne, 0, 1, Hannover 96, "Saturday, October 31, 2009", RheinEnergieStadion (45,000)
Hamburg SV, 2, 3, Borussia Monchengladbach, "Saturday, October 31, 2009", Imtech Arena (57,000)
Nurnberg, 2, 2, Werder Bremen, "Saturday, October 31, 2009", EasyCredit-Stadion (42,258)
VfB Stuttgart, 0, 0, Bayern Munich, "Saturday, October 31, 2009", Mercedes-Benz Arena (42,000)
VfL Wolfsburg, 3, 3, Mainz, "Saturday, October 31, 2009", Volkswagen Arena (28,309)
Schalke 04, 2, 2, Bayer Leverkusen, "Saturday, October 31, 2009", Veltins-Arena (61,673)
Borussia Dortmund, 2, 0, Hertha Berlin, "Friday, October 30, 2009", Signal Iduna Park (77,000)
Hertha Berlin, 0, 0, VfL Wolfsburg, "Sunday, October 25, 2009", Olympiastadion (36,799)
Schalke 04, 3, 3, Hamburg SV, "Sunday, October 25, 2009", Veltins-Arena (61,673)
VfL Bochum, 1, 4, Werder Bremen, "Sunday, October 25, 2009", rewirpowerSTADION (25,703)
Bayern Munich, 2, 1, Eintracht Frankfurt, "Saturday, October 24, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 0, 0, FC Cologne, "Saturday, October 24, 2009", Borussia-Park (54,067)
Hannover 96, 1, 0, VfB Stuttgart, "Saturday, October 24, 2009", AWD-Arena (34,423)
Mainz, 3, 0, SC Freiburg, "Saturday, October 24, 2009", Stadion am Bruchweg (20,150)
